title_key,media_type,title,release_date,vote_average,vote_count,popularity
movie:373571,movie,Godzilla: King of the Monsters,2019-05-29,6.685,6864,16.1829
movie:546554,movie,Knives Out,2019-11-27,7.842,14391,22.6221
movie:351286,movie,Jurassic World: Fallen Kingdom,2018-06-06,6.527,12953,13.6154
movie:674,movie,Harry Potter and the Goblet of Fire,2005-11-16,7.802,22543,32.9932
tv:76479,tv,The Boys,2019-07-25,8.436,13339,119.0188
movie:58,movie,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,7.4,17492,27.9718
movie:316029,movie,The Greatest Showman,2017-12-20,7.854,10196,18.0596
movie:1858,movie,Transformers,2007-06-27,6.843,12469,5.8845
movie:313369,movie,La La Land,2016-12-01,7.896,18392,19.7543
tv:85949,tv,Star Trek: Picard,2020-01-23,7.233,1935,28.2559
movie:474350,movie,It Chapter Two,2019-09-04,6.8,9799,14.835
movie:6977,movie,No Country for Old Men,2007-11-09,7.949,13672,23.5396
movie:424,movie,Schindler's List,1993-12-15,8.569,17804,34.9757
movie:694,movie,The Shining,1980-05-23,8.201,19268,24.0045
tv:66788,tv,13 Reasons Why,2017-03-31,7.531,4634,27.0046
movie:38,movie,Eternal Sunshine of the Spotless Mind,2004-03-19,8.088,16643,18.5986
movie:424139,movie,Halloween,2018-10-18,6.562,5134,9.711
movie:324857,movie,Spider-Man: Into the Spider-Verse,2018-12-06,8.398,17742,53.6606
tv:1402,tv,The Walking Dead,2010-10-31,8.083,18130,176.9422
movie:652,movie,Troy,2004-05-13,7.19,11439,41.1252
movie:330459,movie,Rogue One: A Star Wars Story,2016-12-14,7.51,16676,14.5868
movie:570670,movie,The Invisible Man,2020-02-26,7.087,6419,13.2657
tv:77169,tv,Cobra Kai,2018-05-02,8.198,6988,41.7364
movie:588,movie,Silent Hill,2006-04-21,6.646,5051,11.4178
movie:439079,movie,The Nun,2018-09-05,5.908,7277,15.9905
movie:497,movie,The Green Mile,1999-12-10,8.506,19688,35.1691
movie:187,movie,Sin City,2005-04-01,7.464,9015,10.9511
tv:79410,tv,After Life,2019-03-08,7.89,1126,13.724
tv:87324,tv,Abhay,2019-02-07,6.923,13,3.9598
movie:70160,movie,The Hunger Games,2012-03-12,7.223,23619,12.0005
movie:296,movie,Terminator 3: Rise of the Machines,2003-07-02,6.2,7432,13.7765
movie:475210,movie,How It Ends,2018-07-13,5.285,2074,5.1846
movie:565,movie,The Ring,2002-10-18,6.708,6831,13.0473
movie:19995,movie,Avatar,2009-12-16,7.609,34526,36.7553
movie:353081,movie,Mission: Impossible - Fallout,2018-07-25,7.449,9316,18.233
tv:63174,tv,Lucifer,2016-01-25,8.43,15644,80.286
movie:281957,movie,The Revenant,2015-12-25,7.541,19621,20.4089
movie:16869,movie,Inglourious Basterds,2009-08-02,8.218,24644,32.0538
movie:16320,movie,Serenity,2005-09-25,7.36,3967,8.837
movie:547016,movie,The Old Guard,2020-07-09,7.091,4926,9.3851
movie:146,movie,"Crouching Tiger, Hidden Dragon",2000-07-06,7.438,3669,12.2151
tv:75006,tv,The Umbrella Academy,2019-02-15,8.459,10104,39.8702
movie:1353802,movie,Crash,2004-10-16,7.0,3,0.722
movie:419430,movie,Get Out,2017-02-24,7.625,19241,21.074
movie:399055,movie,The Shape of Water,2017-12-01,7.233,13029,14.5626
movie:24428,movie,The Avengers,2012-04-25,8.07,39455,78.871
movie:124905,movie,Godzilla,2014-05-14,6.367,9968,13.745
movie:345,movie,Eyes Wide Shut,1999-07-16,7.5,7237,19.4036
movie:176,movie,Saw,2004-10-01,7.427,10270,18.8867
movie:284053,movie,Thor: Ragnarok,2017-10-02,7.581,22393,31.363
tv:84150,tv,College Romance,2018-08-07,7.117,30,4.5179
movie:8966,movie,Twilight,2008-11-20,6.3,14620,23.1163
movie:263115,movie,Logan,2017-02-28,7.821,20744,23.1333
movie:389,movie,12 Angry Men,1957-04-10,8.57,10282,31.0687
movie:2486,movie,Eragon,2006-12-14,5.137,3508,5.5792
movie:411,movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,7.141,11709,27.7592
movie:10196,movie,The Last Airbender,2010-06-30,4.6,4341,13.6522
movie:216015,movie,Fifty Shades of Grey,2015-02-11,5.861,12524,26.5593
movie:135397,movie,Jurassic World,2015-06-06,6.7,21849,20.6481
tv:1668,tv,Friends,1994-09-22,8.415,9338,131.3781
movie:6479,movie,I Am Legend,2007-12-12,7.222,17222,18.1816
movie:8193,movie,Napoleon Dynamite,2004-06-11,6.8,2231,4.5873
movie:73,movie,American History X,1998-07-01,8.326,12827,15.8916
movie:345940,movie,The Meg,2018-08-08,6.252,8344,18.2505
movie:185,movie,A Clockwork Orange,1971-10-28,8.171,14050,15.4939
tv:71912,tv,The Witcher,2019-12-20,7.895,6861,48.358
movie:78,movie,Blade Runner,1982-06-25,7.935,15318,22.4247
movie:595228,movie,Soorarai Pottru,2020-11-12,7.698,134,1.959
movie:398978,movie,The Irishman,2019-11-01,7.6,7665,12.3996
movie:515001,movie,Jojo Rabbit,2019-10-18,7.975,10624,13.8377
movie:490132,movie,Green Book,2018-11-16,8.222,13148,19.8662
movie:338952,movie,Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,6.83,11625,10.37
movie:334,movie,Magnolia,1999-12-17,7.724,4123,9.2683
movie:8741,movie,The Thin Red Line,1998-12-23,7.442,3397,10.3684
movie:955,movie,Mission: Impossible II,2000-05-24,6.138,7752,16.064
movie:273248,movie,The Hateful Eight,2015-12-25,7.757,15541,17.028
movie:64690,movie,Drive,2011-09-15,7.583,13916,15.69
movie:9741,movie,Unbreakable,2000-11-22,7.146,10088,10.6626
movie:106646,movie,The Wolf of Wall Street,2013-12-25,8.027,26391,35.5575
movie:8373,movie,Transformers: Revenge of the Fallen,2009-06-19,6.223,9357,5.2386
movie:1927,movie,Hulk,2003-06-19,5.598,6419,17.7984
movie:194,movie,Amélie,2001-04-25,7.92,12592,16.4245
